epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.6183,1.33435,3.10598,1.27797,0.60586,0.56594,0.59625,0.46053,0.86004,1.31122,1.03168,7.90741e-05,7.90741e-05,7.90741e-05
2,147.123,0.88972,1.19144,1.04143,0.88726,0.75816,0.8222,0.67483,0.71271,0.7129,0.96166,0.000155271,0.000155271,0.000155271
3,220.078,0.81266,0.86334,1.00605,0.84745,0.78682,0.84475,0.69858,0.70225,0.65021,0.94958,0.000228326,0.000228326,0.000228326
4,282.138,0.753,0.72801,0.98004,0.85762,0.80468,0.85809,0.71493,0.68176,0.54105,0.93758,0.000223863,0.000223863,0.000223863
5,342.183,0.70815,0.6403,0.96251,0.85719,0.81376,0.86259,0.72854,0.64628,0.51918,0.91714,0.00021915,0.00021915,0.00021915
6,402.071,0.66804,0.59929,0.94321,0.86432,0.82804,0.86743,0.73739,0.62651,0.48264,0.91893,0.000214438,0.000214438,0.000214438
7,461.366,0.64223,0.55578,0.93487,0.87065,0.82922,0.87025,0.73401,0.64746,0.45806,0.9217,0.000209726,0.000209726,0.000209726
8,520.137,0.6276,0.53521,0.9285,0.8702,0.83011,0.87057,0.74473,0.60809,0.44071,0.91189,0.000205013,0.000205013,0.000205013
9,578.96,0.61213,0.50921,0.92121,0.87433,0.83182,0.86926,0.74494,0.60483,0.43958,0.91081,0.000200301,0.000200301,0.000200301
10,638.324,0.58916,0.49568,0.91301,0.87584,0.82604,0.86851,0.74872,0.59493,0.44052,0.90396,0.000195588,0.000195588,0.000195588
11,701.109,0.57497,0.48223,0.9104,0.87245,0.82796,0.86967,0.75202,0.58696,0.43076,0.90301,0.000190876,0.000190876,0.000190876
12,760.007,0.56285,0.46688,0.90146,0.87826,0.83407,0.87319,0.75681,0.57727,0.40588,0.90444,0.000186164,0.000186164,0.000186164
13,822.313,0.5441,0.45967,0.89685,0.87202,0.8316,0.86843,0.75403,0.58201,0.42516,0.90033,0.000181451,0.000181451,0.000181451
14,882.174,0.54438,0.45159,0.89593,0.87369,0.83276,0.87147,0.75848,0.57112,0.40972,0.8986,0.000176739,0.000176739,0.000176739
15,944.94,0.52784,0.43563,0.88949,0.87582,0.83693,0.87516,0.7594,0.57798,0.39714,0.90007,0.000172026,0.000172026,0.000172026
16,1006.48,0.51072,0.42696,0.8861,0.87031,0.83994,0.87188,0.75086,0.59279,0.40489,0.90643,0.000167314,0.000167314,0.000167314
17,1074.83,0.51452,0.4265,0.88622,0.87354,0.83644,0.87465,0.76508,0.55491,0.38714,0.89659,0.000162602,0.000162602,0.000162602
18,1137.34,0.49972,0.41147,0.87868,0.8759,0.83779,0.87339,0.7641,0.55461,0.38926,0.89335,0.000157889,0.000157889,0.000157889
19,1198.52,0.48269,0.40395,0.87677,0.86769,0.8332,0.87162,0.75708,0.56826,0.40659,0.90539,0.000153177,0.000153177,0.000153177
20,1265.05,0.48239,0.40286,0.87522,0.87149,0.83303,0.87312,0.76436,0.55093,0.3894,0.90069,0.000148464,0.000148464,0.000148464
